2 layers with 8 units in the privatizer
2 layers with 8 units in the adversary
2 layers with 4 units in the map model, trained for 200 epochs
utility distortion penalty of 5
minimum acceptable distortion of 0.00
train on 100 samples
try 100 iterations

Iterations: 0	 Adversary loss: 1.5308	 Privatizer loss: 12.1056
Iterations: 1	 Adversary loss: 1.4830	 Privatizer loss: -0.0253
Iterations: 2	 Adversary loss: 1.4499	 Privatizer loss: -0.4348
Iterations: 3	 Adversary loss: 1.4264	 Privatizer loss: -0.6368
Iterations: 4	 Adversary loss: 1.4089	 Privatizer loss: -0.7546
Iterations: 5	 Adversary loss: 1.3957	 Privatizer loss: -0.8343
Iterations: 6	 Adversary loss: 1.3856	 Privatizer loss: -0.8936
Iterations: 7	 Adversary loss: 1.3776	 Privatizer loss: -0.9399
Iterations: 8	 Adversary loss: 1.3704	 Privatizer loss: -0.9768
Iterations: 9	 Adversary loss: 1.3634	 Privatizer loss: -1.0063
Iterations: 10	 Adversary loss: 1.3562	 Privatizer loss: -1.0299
Iterations: 11	 Adversary loss: 1.3484	 Privatizer loss: -1.0490
Iterations: 12	 Adversary loss: 1.3398	 Privatizer loss: -1.0640
Iterations: 13	 Adversary loss: 1.3297	 Privatizer loss: -1.0747
Iterations: 14	 Adversary loss: 1.3175	 Privatizer loss: -1.0807
Iterations: 15	 Adversary loss: 1.3040	 Privatizer loss: -1.0836
Iterations: 16	 Adversary loss: 1.2893	 Privatizer loss: -1.0835
Iterations: 17	 Adversary loss: 1.2729	 Privatizer loss: -1.0803
Iterations: 18	 Adversary loss: 1.2547	 Privatizer loss: -1.0741
Iterations: 19	 Adversary loss: 1.2349	 Privatizer loss: -1.0651
Iterations: 20	 Adversary loss: 1.2168	 Privatizer loss: -1.0568
Iterations: 21	 Adversary loss: 1.1992	 Privatizer loss: -1.0481
Iterations: 22	 Adversary loss: 1.1827	 Privatizer loss: -1.0397
Iterations: 23	 Adversary loss: 1.1671	 Privatizer loss: -1.0316
Iterations: 24	 Adversary loss: 1.1525	 Privatizer loss: -1.0238
Iterations: 25	 Adversary loss: 1.1382	 Privatizer loss: -1.0157
